title,sort,description,author,video_file_link,video_stream_link,video_thumbnail_link,manuscript_link,external_reference_link,width,height,embedded_width,embedded_height,length,pages,video_size,manuscript_size,authoring_software,question_id
KaViaR.SS17.LA2.E01,Kaviar,Vorlesungsaufzeichung,Denis Vogel,ss17/Lineare_Algebra_2/LineareAlgebra.S02E01.1080p/LineareAlgebra.S02E01.1080p.mp4,ss17/Lineare_Algebra_2/LineareAlgebra.S02E01.1080p/LineareAlgebra.S02E01.1080p.html,ss17/Lineare_Algebra_2/images/LineareAlgebra.S02E01.png,ss17/Lineare_Algebra_2/pdf/LineareAlgebra.S02E01.pdf,,1620,1080,1080,720,1h07m40s,3,161 MiB,2.2 MiB,Camtasia 9,
KaViaR.SS17.LA2.E02,Kaviar,Vorlesungsaufzeichung,Denis Vogel,ss17/Lineare_Algebra_2/LineareAlgebra.S02E02.1080p/LineareAlgebra.S02E02.1080p.mp4,ss17/Lineare_Algebra_2/LineareAlgebra.S02E02.1080p/LineareAlgebra.S02E02.1080p.html,ss17/Lineare_Algebra_2/images/LineareAlgebra.S02E02.png,ss17/Lineare_Algebra_2/pdf/LineareAlgebra.S02E02.pdf,,1620,1080,1080,720,1h29m09s,4,187 MiB,2.6 MiB,Camtasia 9,
KaViaR.SS17.LA2.E03,Kaviar,Vorlesungsaufzeichung,Denis Vogel,ss17/Lineare_Algebra_2/LineareAlgebra.S02E03.1080p/LineareAlgebra.S02E03.1080p.mp4,ss17/Lineare_Algebra_2/LineareAlgebra.S02E03.1080p/LineareAlgebra.S02E03.1080p.html,ss17/Lineare_Algebra_2/images/LineareAlgebra.S02E03.png,ss17/Lineare_Algebra_2/pdf/LineareAlgebra.S02E03.pdf,,1620,1080,1080,720,1h31m23s,5,189 MiB,3.1 MiB,Camtasia 9,
KaViaR.SS17.LA2.E04,Kaviar,Vorlesungsaufzeichung,Denis Vogel,ss17/Lineare_Algebra_2/LineareAlgebra.S02E04.1080p/LineareAlgebra.S02E04.1080p.mp4,ss17/Lineare_Algebra_2/LineareAlgebra.S02E04.1080p/LineareAlgebra.S02E04.1080p.html,ss17/Lineare_Algebra_2/images/LineareAlgebra.S02E04.png,ss17/Lineare_Algebra_2/pdf/LineareAlgebra.S02E04.pdf,,1620,1080,1080,720,1h27m16s,5,175 MiB,2.5 MiB,Camtasia 9,
KaViaR.SS17.LA2.E05,Kaviar,Vorlesungsaufzeichung,Denis Vogel,ss17/Lineare_Algebra_2/LineareAlgebra.S02E05.1080p/LineareAlgebra.S02E05.1080p.mp4,ss17/Lineare_Algebra_2/LineareAlgebra.S02E05.1080p/LineareAlgebra.S02E05.1080p.html,ss17/Lineare_Algebra_2/images/LineareAlgebra.S02E05.png,ss17/Lineare_Algebra_2/pdf/LineareAlgebra.S02E05.pdf,,1620,1080,1080,720,1h29m44s,4,184 MiB,2.6 MiB,Camtasia 9,
KaViaR.SS17.LA2.E06,Kaviar,Vorlesungsaufzeichung,Denis Vogel,ss17/Lineare_Algebra_2/LineareAlgebra.S02E06.1080p/LineareAlgebra.S02E06.1080p.mp4,ss17/Lineare_Algebra_2/LineareAlgebra.S02E06.1080p/LineareAlgebra.S02E06.1080p.html,ss17/Lineare_Algebra_2/images/LineareAlgebra.S02E06.png,ss17/Lineare_Algebra_2/pdf/LineareAlgebra.S02E06.pdf,,1620,1080,1080,720,1h29m27s,4,192 MiB,2.4 MiB,Camtasia 9,
KaViaR.SS17.LA2.E07,Kaviar,Vorlesungsaufzeichung,Denis Vogel,ss17/Lineare_Algebra_2/LineareAlgebra.S02E07.1080p/LineareAlgebra.S02E07.1080p.mp4,ss17/Lineare_Algebra_2/LineareAlgebra.S02E07.1080p/LineareAlgebra.S02E07.1080p.html,ss17/Lineare_Algebra_2/images/LineareAlgebra.S02E07.png,ss17/Lineare_Algebra_2/pdf/LineareAlgebra.S02E07.pdf,,1620,1080,1080,720,1h25m29s,3,197 MiB,2.5 MiB,Camtasia 9,
KaViaR.SS17.LA2.E08,Kaviar,Vorlesungsaufzeichung,Denis Vogel,ss17/Lineare_Algebra_2/LineareAlgebra.S02E08.1080p/LineareAlgebra.S02E08.1080p.mp4,ss17/Lineare_Algebra_2/LineareAlgebra.S02E08.1080p/LineareAlgebra.S02E08.1080p.html,ss17/Lineare_Algebra_2/images/LineareAlgebra.S02E08.png,ss17/Lineare_Algebra_2/pdf/LineareAlgebra.S02E08.pdf,,1620,1080,1080,720,1h29m21s,4,182 MiB,2.7 MiB,Camtasia 9,
KaViaR.SS17.LA2.E09,Kaviar,Vorlesungsaufzeichung,Denis Vogel,ss17/Lineare_Algebra_2/LineareAlgebra.S02E09.1080p/LineareAlgebra.S02E09.1080p.mp4,ss17/Lineare_Algebra_2/LineareAlgebra.S02E09.1080p/LineareAlgebra.S02E09.1080p.html,ss17/Lineare_Algebra_2/images/LineareAlgebra.S02E09.png,ss17/Lineare_Algebra_2/pdf/LineareAlgebra.S02E09.pdf,,1620,1080,1080,720,1h32m30s,5,187 MiB,2.6 MiB,Camtasia 9,
KaViaR.SS17.LA2.E10,Kaviar,Vorlesungsaufzeichung,Denis Vogel,ss17/Lineare_Algebra_2/LineareAlgebra.S02E10.1080p/LineareAlgebra.S02E10.1080p.mp4,ss17/Lineare_Algebra_2/LineareAlgebra.S02E10.1080p/LineareAlgebra.S02E10.1080p.html,ss17/Lineare_Algebra_2/images/LineareAlgebra.S02E10.png,ss17/Lineare_Algebra_2/pdf/LineareAlgebra.S02E10.pdf,,1620,1080,1080,720,1h27m13s,5,181 MiB,2.6 MiB,Camtasia 9,
